title;start;qos;oldrun;path_report;magpie_scen;no_ghgprices_land_until;path_gdx;path_gdx_ref;path_gdx_bau;cm_nash_autoconverge_lastrun
SSP1-Base;1,optional;short;;;SSP1|NPI|nocc_hist;y2150;;;;2
SSP1-NDC;1,optional;short;;;SSP1|NDC|nocc_hist;y2150;;;;2
SSP1-NPi;1,optional;short;;;SSP1|NPI|nocc_hist;y2150;;;;2
SSP1-PkBudg500;1,optional;short;;;SSP1|NDC|nocc_hist;y2030;;;;2
SSP1-PkBudg650;1,optional;short;;;SSP1|NDC|nocc_hist;y2030;;;;2
SSP2EU-Base;1,mandatory;priority;;;SSP2|NPI|nocc_hist;y2150;;;;2
SSP2EU-NDC;1,mandatory;priority;;;SSP2|NDC|nocc_hist;y2150;;;;2
SSP2EU-NPi;1,mandatory;short;;;SSP2|NPI|nocc_hist;y2150;;;;2
SSP2EU-PkBudg500;1,optional;short;;;SSP2|NDC|nocc_hist;y2030;;;;2
SSP2EU-PkBudg650;1,mandatory;short;;;SSP2|NDC|nocc_hist;y2030;;;;2
SDP-Base;0;short;;;SDP|NPI|nocc_hist;y2150;;;;2
SDP-NDC;0;short;;;SDP|NDC|nocc_hist;y2150;;;;2
SDP-NPi;0;short;;;SDP|NPI|nocc_hist;y2150;;;;2
SDP-PkBudg500;0;short;;;SDP|NDC|nocc_hist;y2030;;;;2
SDP-PkBudg650;0;short;;;SDP|NDC|nocc_hist;y2030;;;;2
SDP_MC-Base;1,mandatory;priority;;;SDP-MC|NPI|nocc_hist;y2150;;;;2
SDP_MC-NDC;1,optional;short;;;SDP-MC|NDC|nocc_hist;y2150;;;;2
SDP_MC-NPi;1,mandatory;short;;;SDP-MC|NPI|nocc_hist;y2150;;;;2
SDP_MC-PkBudg500;1,optional;short;;;SDP-MC|NDC|nocc_hist;y2030;;;;2
SDP_MC-PkBudg650;1,mandatory;short;;;SDP-MC|NDC|nocc_hist;y2030;;;;2
SDP_EI-Base;1,mandatory;priority;;;SDP-EI|NPI|nocc_hist;y2150;;;;2
SDP_EI-NDC;1,optional;short;;;SDP-EI|NDC|nocc_hist;y2150;;;;2
SDP_EI-NPi;1,mandatory;short;;;SDP-EI|NPI|nocc_hist;y2150;;;;2
SDP_EI-PkBudg500;1,optional;short;;;SDP-EI|NDC|nocc_hist;y2030;;;;2
SDP_EI-PkBudg650;1,mandatory;short;;;SDP-EI|NDC|nocc_hist;y2030;;;;2
SDP_RC-Base;1,mandatory;priority;;;SDP-RC|NPI|nocc_hist;y2150;;;;2
SDP_RC-NDC;1,optional;short;;;SDP-RC|NDC|nocc_hist;y2150;;;;2
SDP_RC-NPi;1,mandatory;short;;;SDP-RC|NPI|nocc_hist;y2150;;;;2
SDP_RC-PkBudg500;1,optional;short;;;SDP-RC|NDC|nocc_hist;y2030;;;;2
SDP_RC-PkBudg650;1,mandatory;short;;;SDP-RC|NDC|nocc_hist;y2030;;;;2
SDP_MC-PkBudg650-CCimp;1,optional;short;;;SDP-MC|NDC|cc|rcp1p9;y2030;;;;2
SDP_EI-PkBudg650-CCimp;1,optional;short;;;SDP-EI|NDC|cc|rcp1p9;y2030;;;;2
SDP_RC-PkBudg650-CCimp;1,optional;short;;;SDP-RC|NDC|cc|rcp1p9;y2030;;;;2
SSP2EU-PkBudg650-CCimp;1,optional;short;;;SSP2|NDC|cc|rcp1p9;y2030;;;;2
SSP2EU-NPi-CCimp;1,optional;short;;;SSP2|NPI|cc|rcp4p5;y2150;;;;2
